id,betAmount,numMines,balanceBefore,profit,balanceAfter,win
1,50.0,1,1000.0,152.0,1152.0,Win
2,50.0,13,1152.0,-50.0,1102.0,Loss
3,1000.0,8,1102.0,-1000.0,102.0,Loss
4,100.0,8,102.0,8052.0,8154.0,Win
5,100.0,23,8154.0,-100.0,8054.0,Loss
