mines,total_profit,avg_profit,games_won,games_lost,win_rate,avg_rounds_played
1,12951.900000000014,12.951900000000014,610,390,0.61,9.222
2,17680.229999999967,17.680229999999966,417,583,0.417,7.053
3,29082.27,29.08227,300,700,0.3,5.974
4,60611.199999999895,60.6111999999999,273,727,0.273,4.865
5,41045.90000000035,41.04590000000035,210,790,0.21,3.952
6,416173.9300000004,416.1739300000004,183,817,0.183,3.605
7,551440.6000000009,551.4406000000009,156,844,0.156,3.215
8,14643.679999999946,14.643679999999947,152,848,0.152,2.733
9,18983.519999999975,18.983519999999974,109,891,0.109,2.546
10,14799.10999999997,14.79910999999997,92,908,0.092,2.229
11,6810.309999999972,6.810309999999972,80,920,0.08,2.05
12,88727.69999999915,88.72769999999915,82,918,0.082,1.918
13,5278.33000000003,5.27833000000003,67,933,0.067,1.757
14,3455.670000000032,3.455670000000032,84,916,0.084,1.618
15,6298.18,6.29818,62,938,0.062,1.47
16,4040.579999999999,4.040579999999999,60,940,0.06,1.453
17,3142.879999999985,3.1428799999999852,75,925,0.075,1.396
18,3294.3900000000085,3.2943900000000084,59,941,0.059,1.305
19,12562.0,12.562,56,944,0.056,1.251
20,4506.5,4.5065,48,952,0.048,1.19
21,2026.8999999999942,2.026899999999994,52,948,0.052,1.12
22,3086.0,3.086,36,964,0.036,1.097
23,1273.5,1.2735,46,954,0.046,1.037
24,-154.0,-0.154,36,964,0.036,1.0
